Labels,Paper Name,Author Names
"Linguistic Theories, Cognitive Modeling and Psycholinguistics",Inflecting When There's No Majority: Limitations of Encoder-Decoder Neural Networks as Cognitive Models for German Plurals,"Kate McCurdy, Sharon Goldwater, Adam Lopez"
"Linguistic Theories, Cognitive Modeling and Psycholinguistics",Learning to Understand Child-directed and Adult-directed Speech,"Lieke Gelderloos, Grzegorz Chrupała, Afra Alishahi"
"Linguistic Theories, Cognitive Modeling and Psycholinguistics",Recurrent Neural Network Language Models Always Learn English-Like Relative Clause Attachment,"Forrest Davis, Marten van Schijndel"
"Linguistic Theories, Cognitive Modeling and Psycholinguistics",You Don't Have Time to Read This: An Exploration of Document Reading Time Prediction,"Orion Weller, Jordan Hildebrandt, Ilya Reznik, Christopher Challis, E. Shannon Tass, Quinn Snell, Kevin Seppi"
"Linguistic Theories, Cognitive Modeling and Psycholinguistics",Predicting Depression in Screening Interviews from Latent Categorization of Interview Prompts,"Alex Rinaldi, Jean Fox Tree, Snigdha Chaturvedi"
"Linguistic Theories, Cognitive Modeling and Psycholinguistics",A Tale of Two Perplexities: Sensitivity of Neural Language Models to Lexical Retrieval Deficits in Dementia of the Alzheimer’s Type,"Trevor Cohen, Serguei Pakhomov"
"Linguistic Theories, Cognitive Modeling and Psycholinguistics",Suspense in Short Stories is Predicted By Uncertainty Reduction over Neural Story Representation,"David Wilmot, Frank Keller"
"Linguistic Theories, Cognitive Modeling and Psycholinguistics",Overestimation of Syntactic Representation in Neural Language Models,"Jordan Kodner, Nitish Gupta"
"Linguistic Theories, Cognitive Modeling and Psycholinguistics",Speakers enhance contextually confusable words,"Eric Meinhardt, Eric Bakovic, Leon Bergen"
"Linguistic Theories, Cognitive Modeling and Psycholinguistics",How Furiously Can Colourless Green Ideas Sleep? Sentence Acceptability in Context,"Jey Han Lau, Carlos Santos Armendariz, Matthew Purver, Chang Shu, Shalom Lappin"
"Linguistic Theories, Cognitive Modeling and Psycholinguistics",Recollection versus Imagination: Exploring Human Memory and Cognition via Neural Language Models,"Maarten Sap, Eric Horvitz, Yejin Choi, Noah A. Smith, James Pennebaker"
"Linguistic Theories, Cognitive Modeling and Psycholinguistics",A Systematic Assessment of Syntactic Generalization in Neural Language Models,"Jennifer Hu, Jon Gauthier, Peng Qian, Ethan Wilcox, Roger Levy"
"Linguistic Theories, Cognitive Modeling and Psycholinguistics",What determines the order of adjectives in English? Comparing efficiency-based theories using dependency treebanks,"Richard Futrell, William Dyer, Greg Scontras"
