Labels,Paper Name,Author Names
Computational Social Science and Social Media,An Embedding Model for Estimating Legislative Preferences from the Frequency and Sentiment of Tweets,"Gregory Spell, Brian Guay, Sunshine Hillygus, Lawrence Carin"
Computational Social Science and Social Media,"Hashtags, Emotions, and Comments: A Large-Scale Dataset to Understand Fine-Grained Social Emotions to Online Topics","Keyang Ding, Jing Li, Yuji Zhang"
Computational Social Science and Social Media,Help! Need Advice on Identifying Advice,"Venkata Subrahmanyan Govindarajan, Benjamin Chen, Rebecca Warholic, Katrin Erk, Junyi Jessy Li"
Computational Social Science and Social Media,Investigating African-American Vernacular English in Transformer-Based Text Generation,"Sophie Groenwold, Lily Ou, Aesha Parekh, Samhita Honnavalli, Sharon Levy, Diba Mirza, William Yang Wang"
Computational Social Science and Social Media,Named Entity Recognition for Social Media Texts with Semantic Augmentation,"Yuyang Nie, Yuanhe Tian, Xiang Wan, Yan Song, Bo Dai"
Computational Social Science and Social Media,Multilingual Offensive Language Identification with Cross-lingual Embeddings,"Tharindu Ranasinghe, Marcos Zampieri"
Computational Social Science and Social Media,Social Media Attributions in the Context of Water Crisis,"Rupak Sarkar, Sayantan Mahinder, Hirak Sarkar, Ashiqur KhudaBukhsh"
Computational Social Science and Social Media,Reactive Supervision: A New Method for Collecting Sarcasm Data,"Boaz Shmueli, Lun-Wei Ku, Soumya Ray"
Computational Social Science and Social Media,Modeling Protagonist Emotions for Emotion-Aware Storytelling,"Faeze Brahman, Snigdha Chaturvedi"
Computational Social Science and Social Media,Cross-Media Keyphrase Prediction: A Unified Framework with Multi-Modality Multi-Head Attention and Image Wordings,"Yue Wang, Jing Li, Michael Lyu, Irwin King"
Computational Social Science and Social Media,Comparative Evaluation of Label-Agnostic Selection Bias in Multilingual Hate Speech Datasets,"Nedjma Ousidhoum, Yangqiu Song, Dit-Yan Yeung"
Computational Social Science and Social Media,Unsupervised Discovery of Implicit Gender Bias,"Anjalie Field, Yulia Tsvetkov"
Computational Social Science and Social Media,Social Chemistry 101: Learning to Reason about Social and Moral Norms,"Maxwell Forbes, Jena D. Hwang, Vered Shwartz, Maarten Sap, Yejin Choi"
Computational Social Science and Social Media,Coupled Hierarchical Transformer for Stance-Aware Rumor Verification in Social Media Conversations,"Jianfei Yu, Jing Jiang, Ling Min Serena Khoo, Hai Leong Chieu, Rui Xia"
Computational Social Science and Social Media,Toward Micro-Dialect Identification in Diaglossic and Code-Switched Environments,"Muhammad Abdul-Mageed, Chiyu Zhang, AbdelRahim Elmadany, Lyle Ungar"
Computational Social Science and Social Media,A Computational Approach to Understanding Empathy Expressed in Text-Based Mental Health Support,"Ashish Sharma, Adam Miner, David Atkins, Tim Althoff"
Computational Social Science and Social Media,"Continuity of Topic, Interaction, and Query: Learning to Quote in Online Conversations","Lingzhi Wang, Jing Li, Xingshan Zeng, Haisong Zhang, Kam-Fai Wong"
Computational Social Science and Social Media,EmoTag1200: Understanding the Association between Emojis and Emotions,"Abu Awal Md Shoeb, Gerard de Melo"
Computational Social Science and Social Media,Solving Historical Dictionary Codes with a Neural Language Model,"Christopher Chu, Raphael Valenti, Kevin Knight"
Computational Social Science and Social Media,Suicidal Risk Detection for Military Personnel,"Sungjoon Park, Kiwoong Park, Jaimeen Ahn, Alice Oh"
Computational Social Science and Social Media,Fortifying Toxic Speech Detectors Against Veiled Toxicity,"Xiaochuang Han, Yulia Tsvetkov"
Computational Social Science and Social Media,On the Reliability and Validity of Detecting Approval of Political Actors in Tweets,"Indira Sen, Fabian Flöck, Claudia Wagner"
Computational Social Science and Social Media,Writing Strategies for Science Communication: Data and Computational Analysis,"Tal August, Lauren Kim, Katharina Reinecke, Noah A. Smith"
Computational Social Science and Social Media,Condolence and Empathy in Online Communities,"Naitian Zhou, David Jurgens"
Computational Social Science and Social Media,A Time-Aware Transformer Based Model for Suicide Ideation Detection on Social Media,"Ramit Sawhney, Harshit Joshi, Saumya Gandhi, Rajiv Ratn Shah"
