Labels,Paper Name,Author Names
Information Extraction,Knowledge Router: Learning Disentangled Representations for Knowledge Graphs,"Shuai Zhang, Xi Rao, Yi Tay and Ce Zhang"
Information Extraction,Distantly Supervised Relation Extraction with Sentence Reconstruction and Knowledge Base Priors,"Fenia Christopoulou, Makoto Miwa and Sophia Ananiadou"
Information Extraction,Cross-Task Instance Representation Interactions and Label Dependencies for Joint Information Extraction with Graph Convolutional Networks,"Minh Van Nguyen, Viet Lai and Thien Huu Nguyen"
Information Extraction,Abstract Meaning Representation Guided Graph Encoding and Decoding for Joint Information Extraction,Zixuan Zhang and Heng Ji
Information Extraction,A Frustratingly Easy Approach for Entity and Relation Extraction,Zexuan Zhong and Danqi Chen
Information Extraction,Event Time Extraction and Propagation via Graph Attention Networks,"Haoyang Wen, Yanru Qu, Heng Ji, Qiang Ning, Jiawei Han, Avi Sil, Hanghang Tong and Dan Roth"
Interpretability and Analysis of Models for NLP,Probing Word Translations in the Transformer and Trading Decoder for Encoder Layers,"Hongfei Xu, Josef van Genabith, Qiuhui Liu and Deyi Xiong"
Interpretability and Analysis of Models for NLP,Mediators in Determining what Processing BERT Performs First,"Aviv Slobodkin, Leshem Choshen and Omri Abend"
Interpretability and Analysis of Models for NLP,Automatic Generation of Contrast Sets from Scene Graphs: Probing the Compositional Consistency of GQA,"Yonatan Bitton, Gabriel Stanovsky, Roy Schwartz and Michael Elhadad"
Interpretability and Analysis of Models for NLP,Multilingual Language Models Predict Human Reading Behavior,"Nora Hollenstein, Federico Pirovano, Ce Zhang, Lena Jäger and Lisa Beinborn"
Interpretability and Analysis of Models for NLP,Do Syntactic Probes Probe Syntax? Experiments with Jabberwocky Probing,Rowan Hall Maudslay and Ryan Cotterell
Interpretability and Analysis of Models for NLP,A Non-Linear Structural Probe,"Jennifer C. White, Tiago Pimentel, Naomi Saphra and Ryan Cotterell"
Interpretability and Analysis of Models for NLP,Concealed Data Poisoning Attacks on NLP Models,"Eric Wallace, Tony Zhao, Shi Feng and Sameer Singh"
Machine Translation and Multilinguality,"Backtranslation Feedback Improves User Confidence in MT, Not Quality","Vilém Zouhar, Michal Novák, Matúš Žilinec, Ondřej Bojar, Mateo Obregón, Robin L. Hill, Frédéric Blain, Marina Fomicheva, Lucia Specia and Lisa Yankovskaya"
Machine Translation and Multilinguality,Data Filtering using Cross-Lingual Word Embeddings,"Christian Herold, Jan Rosendahl, Joris Vanvinckenroye and Hermann Ney"
Machine Translation and Multilinguality,Improving the Lexical Ability of Pretrained Language Models for Unsupervised Neural Machine Translation,"Alexandra Chronopoulou, Dario Stojanovski and Alexander Fraser"
Machine Translation and Multilinguality,Neural Machine Translation without Embeddings,Uri Shaham and Omer Levy
Machine Translation and Multilinguality,Counterfactual Data Augmentation for Neural Machine Translation,"Qi Liu, Matt Kusner and Phil Blunsom"
Machine Translation and Multilinguality,Cultural and Geographical Influences on Image Translatability of Words across Languages,"Nikzad Khani, Isidora Tourni, Mohammad Sadegh Rasooli, Chris Callison-Burch and Derry Tanti Wijaya"
Machine Translation and Multilinguality,Multilingual BERT Post-Pretraining Alignment,"Lin Pan, Chung-Wei Hang, Haode Qi, Abhishek Shah, Saloni Potdar and Mo Yu"
"Semantics: Sentence-level Semantics, Textual Inference and Other areas",Augmented SBERT: Data Augmentation Method for Improving Bi-Encoders for Pairwise Sentence Scoring Tasks,"Nandan Thakur, Nils Reimers, Johannes Daxenberger and Iryna Gurevych"
"Semantics: Sentence-level Semantics, Textual Inference and Other areas",SmBoP: Semi-autoregressive Bottom-up Semantic Parsing,Ohad Rubin and Jonathan Berant
"Semantics: Sentence-level Semantics, Textual Inference and Other areas",SGL: Speaking the Graph Languages of Semantic Parsing via Multilingual Translation,"Luigi Procopio, Rocco Tripodi and Roberto Navigli"
"Semantics: Sentence-level Semantics, Textual Inference and Other areas",Fool Me Twice: Entailment from Wikipedia Gamification,"Julian Eisenschlos, Bhuwan Dhingra, Jannis Bulian, Benjamin Börschinger and Jordan Boyd-Graber"
"Semantics: Sentence-level Semantics, Textual Inference and Other areas",Meta-Learning for Domain Generalization in Semantic Parsing,"Bailin Wang, Mirella Lapata and Ivan Titov"
Generation,Aspect-Controlled Neural Argument Generation,"Benjamin Schiller, Johannes Daxenberger and Iryna Gurevych"
Generation,Text Generation from Discourse Representation Structures,"Jiangming Liu, Shay B. Cohen and Mirella Lapata"
Generation,APo-VAE: Text Generation in Hyperbolic Space,"Shuyang Dai, Zhe Gan, Yu Cheng, Chenyang Tao, Lawrence Carin and Jingjing Liu"
Generation,DART: Open-Domain Structured Data Record to Text Generation,"Linyong Nan, Dragomir Radev, Rui Zhang, Amrit Rau, Abhinand Sivaprasad, Chiachun Hsieh, Xiangru Tang, Aadit Vyas, Neha Verma, Pranav Krishna, Yangxiaokang Liu, Nadia Irwanto, Jessica Pan, Faiaz Rahman, Ahmad Zaidi, Mutethia Mutuma, Yasin Tarabar, Ankit Gupta, Tao Yu, Yi Chern Tan, Xi Victoria Lin, Caiming Xiong, Richard Socher and Nazneen Fatema Rajani"
Generation,[TACL] An Error Analysis Framework for Shallow Surface Realisation,"Shimorina, Anastasia, Parmentier, Yannick, Gardent, Claire"
Generation,TuringAdvice: A Generative and Dynamic Evaluation of Language Use,"Rowan Zellers, Ari Holtzman, Elizabeth Clark, Lianhui Qin, Ali Farhadi and Yejin Choi"
Machine Translation and Multilinguality,When Being Unseen from mBERT is just the Beginning: Handling New Languages With Multilingual Language Models,"Benjamin Muller, Antonios Anastasopoulos, Benoît Sagot and Djamé Seddah"
Machine Translation and Multilinguality,Multi-Adversarial Learning for Cross-Lingual Word Embeddings,"Haozhou Wang, James Henderson and Paola Merlo"
Machine Translation and Multilinguality,Multi-view Subword Regularization,"Xinyi Wang, Sebastian Ruder and Graham Neubig"
Machine Translation and Multilinguality,mT5: A Massively Multilingual Pre-trained Text-to-Text Transformer,"Linting Xue, Noah Constant, Adam Roberts, Mihir Kale, Rami Al-Rfou, Aditya Siddhant, Aditya Barua and Colin Raffel"
Machine Translation and Multilinguality,MetaXL: Meta Representation Transformation for Low-resource Cross-lingual Learning,"Mengzhou Xia, Guoqing Zheng, Subhabrata Mukherjee, Milad Shokouhi, Graham Neubig and Ahmed Hassan Awadallah"
