Labels,Paper Name,Author Names
Generation,Changing the Mind of Transformers for Topically-Controllable Language Generation,"Haw-Shiuan Chang, Jiaming Yuan, Mohit Iyyer, Andrew McCallum"
Generation,Generating Weather Comments from Meteorological Simulations,"Soichiro Murakami, Sora Tanaka, Masatsugu Hangyo, Hidetaka Kamigaito, Kotaro Funakoshi, Hiroya Takamura, Manabu Okumura"
Summarization,Quantifying Appropriateness of Summarization Data for Curriculum Learning,"Ryuji Kano, Takumi Takahashi, Toru Nishino, Motoki Taniguchi, Tomoki Taniguchi, Tomoko Ohkuma"
Summarization,Unsupervised Extractive Summarization using Pointwise Mutual Information,"Vishakh Padmakumar, He He"
Generation,Contrastive Multi-document Question Generation,"Woon Sang Cho, Yizhe Zhang, Sudha Rao, Asli Celikyilmaz, Chenyan Xiong, Jianfeng Gao, Mengdi Wang, Bill Dolan"
Generation,Neural Data-to-Text Generation with LM-based Text Augmentation,"Ernie Chang, Xiaoyu Shen, Dawei Zhu, Vera Demberg, Hui Su"
Generation,Does the Order of Training Samples Matter? Improving Neural Data-to-Text Generation with Curriculum Learning,"Ernie Chang, Hui-Syuan Yeh, Vera Demberg"
Generation,Polarized-VAE: Proximity Based Disentangled Representation Learning for Text Generation,"Vikash Balasubramanian, Ivan Kobyzev, Hareesh Bahuleyan, Ilya Shapiro, Olga Vechtomova"
Summarization,Extractive Summarization Considering Discourse and Coreference Relations based on Heterogeneous Graph,"Yin Jou Huang, Sadao Kurohashi"
Generation,Enconter: Entity Constrained Progressive Sequence Generation via Insertion-based Transformer,"Lee Hsun Hsieh, Yang-Yin Lee, Ee-Peng Lim"
Summarization,Informative and Controllable Opinion Summarization,"Reinald Kim Amplayo, Mirella Lapata"
Summarization,StructSum: Summarization via Structured Representations,"Vidhisha Balachandran, Artidoro Pagnoni, Jay Yoon Lee, Dheeraj Rajagopal, Jaime Carbonell, Yulia Tsvetkov"
Generation,Implicit Unlikelihood Training: Improving Neural Text Generation with Reinforcement Learning,"Evgeny Lagutin, Daniil Gavrilov, Pavel Kalaidin"
Generation,Generating Syntactically Controlled Paraphrases without Using Annotated Parallel Pairs,"Kuan-Hao Huang, Kai-Wei Chang"
Generation,"Expanding, Retrieving and Infilling: Diversifying Cross-Domain Question Generation with Flexible Templates","Xiaojing Yu, Anxiao Jiang"
Summarization,Globalizing BERT-based Transformer Architectures for Long Document Summarization,"quentin grail, Julien PEREZ, Eric Gaussier"
Summarization,Unsupervised Abstractive Summarization of Bengali Text Documents,"Radia Rayan Chowdhury, Mir Tafseer Nayeem, Tahsin Tasnim Mim, Md. Saifur Rahman Chowdhury, Taufiqul Jannat"
Summarization,How to Evaluate a Summarizer: Study Design and Statistical Analysis for Manual Linguistic Quality Evaluation,"Julius Steen, Katja Markert"
Generation,Don't Change Me! User-Controllable Selective Paraphrase Generation,"Mohan Zhang, Luchen Tan, Zihang Fu, Kun Xiong, Jimmy Lin, Ming Li, Zhengkai Tu"
Generation,Neural-Driven Search-Based Paraphrase Generation,"Betty Fabre, Tanguy Urvoy, Jonathan Chevelu, Damien Lolive"
Summarization,Civil Rephrases Of Toxic Texts With Self-Supervised Transformers,"Léo Laugier, John Pavlopoulos, Jeffrey Sorensen, Lucas Dixon"
Summarization,With Measured Words: Simple Sentence Selection for Black-Box Optimization of Sentence Compression Algorithms,"Yotam Shichel, Meir Kalech, Oren Tsur"
Generation,ChainCQG: Flow-Aware Conversational Question Generation,"Jing Gu, Mostafa Mirshekari, Zhou Yu, Aaron Sisto"
Generation,Non-Autoregressive Text Generation with Pre-trained Language Models,"Yixuan Su, Deng Cai, Yan Wang, David Vandyke, Simon Baker, Piji Li, Nigel Collier"
