,precision,recall,f1-score,support
Computational Social Science and Social Media,0.625,0.25,0.35714285714285715,20.0
Dialogue and Interactive Systems,0.8387096774193549,0.65,0.7323943661971831,40.0
Discourse and Pragmatics,0.5,0.1,0.16666666666666669,10.0
Ethics and NLP,1.0,0.3333333333333333,0.5,6.0
Generation,0.25,0.034482758620689655,0.0606060606060606,29.0
Information Extraction,0.5,0.16666666666666666,0.25,42.0
Information Retrieval and Text Mining,0.0,0.0,0.0,14.0
Interpretability and Analysis of Models for NLP,0.09523809523809523,0.05714285714285714,0.07142857142857142,35.0
"Language Grounding to Vision, Robotics and Beyond",1.0,0.2857142857142857,0.4444444444444445,21.0
"Linguistic Theories, Cognitive Modeling and Psycholinguistics",0.5,0.375,0.42857142857142855,8.0
Machine Learning for NLP,0.15789473684210525,0.8653846153846154,0.2670623145400593,52.0
Machine Translation and Multilinguality,0.5454545454545454,0.47058823529411764,0.5052631578947367,51.0
"Phonology, Morphology and Word Segmentation",0.5,0.125,0.2,8.0
Question Answering,0.6666666666666666,0.6206896551724138,0.6428571428571429,29.0
Resources and Evaluation,0.0,0.0,0.0,23.0
Semantics: Lexical Semantics,0.0,0.0,0.0,13.0
"Semantics: Sentence-level Semantics, Textual Inference and Other areas",0.3333333333333333,0.05405405405405406,0.09302325581395349,37.0
"Sentiment Analysis, Stylistic Analysis, and Argument Mining",0.45454545454545453,0.20833333333333334,0.28571428571428575,24.0
Speech and Multimodality,0.3333333333333333,0.2,0.25,10.0
Summarization,0.9090909090909091,0.8695652173913043,0.888888888888889,23.0
"Syntax: Tagging, Chunking and Parsing",1.0,0.08333333333333333,0.15384615384615385,12.0
Theory and Formalism in NLP (Linguistic and Mathematical),0.0,0.0,0.0,1.0
accuracy,0.33661417322834647,0.33661417322834647,0.33661417322834647,0.33661417322834647
macro avg,0.4640575796328998,0.26133128842913655,0.2862686179369288,508.0
weighted avg,0.45763505980759966,0.33661417322834647,0.3220726361049624,508.0
