,precision,recall,f1-score,support
Computational Social Science and Social Media,0.5714285714285714,0.4,0.47058823529411764,20.0
Dialogue and Interactive Systems,0.6956521739130435,0.8,0.7441860465116279,40.0
Discourse and Pragmatics,0.5,0.1,0.16666666666666669,10.0
Ethics and NLP,1.0,0.16666666666666666,0.2857142857142857,6.0
Generation,0.5625,0.3103448275862069,0.4,29.0
Information Extraction,0.7,0.3333333333333333,0.45161290322580644,42.0
Information Retrieval and Text Mining,0.05555555555555555,0.07142857142857142,0.0625,14.0
Interpretability and Analysis of Models for NLP,0.14285714285714285,0.05714285714285714,0.08163265306122448,35.0
"Language Grounding to Vision, Robotics and Beyond",0.8181818181818182,0.42857142857142855,0.5625,21.0
"Linguistic Theories, Cognitive Modeling and Psycholinguistics",0.4,0.25,0.3076923076923077,8.0
Machine Learning for NLP,0.24675324675324675,0.7307692307692307,0.36893203883495146,52.0
Machine Translation and Multilinguality,0.5789473684210527,0.8627450980392157,0.6929133858267716,51.0
"Phonology, Morphology and Word Segmentation",0.8,0.5,0.6153846153846154,8.0
Question Answering,0.6176470588235294,0.7241379310344828,0.6666666666666667,29.0
Resources and Evaluation,0.3333333333333333,0.08695652173913043,0.13793103448275862,23.0
Semantics: Lexical Semantics,0.3333333333333333,0.07692307692307693,0.125,13.0
"Semantics: Sentence-level Semantics, Textual Inference and Other areas",0.21739130434782608,0.13513513513513514,0.16666666666666666,37.0
"Sentiment Analysis, Stylistic Analysis, and Argument Mining",0.44,0.4583333333333333,0.4489795918367347,24.0
Speech and Multimodality,0.42857142857142855,0.3,0.3529411764705882,10.0
Summarization,0.9130434782608695,0.9130434782608695,0.9130434782608695,23.0
"Syntax: Tagging, Chunking and Parsing",0.4,0.16666666666666666,0.23529411764705882,12.0
Theory and Formalism in NLP (Linguistic and Mathematical),0.0,0.0,0.0,1.0
accuracy,0.4547244094488189,0.4547244094488189,0.4547244094488189,0.4547244094488189
macro avg,0.4888725369900341,0.3578271889377366,0.375311175920169,508.0
weighted avg,0.49111259097991705,0.4547244094488189,0.43111431691885915,508.0
